,A02BA,A02BA,A02BA,A02BA,A03AB,A03AB,A03AB,A03AB,A03FA,A03FA,A03FA,A03FA,A04AA,A04AA,A04AA,A04AA,A10AB,A10AB,A10AB,A10AB,A10AE,A10AE,A10AE,A10AE,A11EA,A11EA,A11EA,A11EA,B02AA,B02AA,B02AA,B02AA,B05BA,B05BA,B05BA,B05BA,B05BB,B05BB,B05BB,B05BB,B05XA,B05XA,B05XA,B05XA,C01EA,C01EA,C01EA,C01EA,C07AG,C07AG,C07AG,C07AG,C08CA,C08CA,C08CA,C08CA,D11AH,D11AH,D11AH,D11AH,H02AB,H02AB,H02AB,H02AB,J01CR,J01CR,J01CR,J01CR,J01DC,J01DC,J01DC,J01DC,J01DD,J01DD,J01DD,J01DD,J01GB,J01GB,J01GB,J01GB,J01MA,J01MA,J01MA,J01MA,M01AB,M01AB,M01AB,M01AB,M03AB,M03AB,M03AB,M03AB,M03AC,M03AC,M03AC,M03AC,N01AH,N01AH,N01AH,N01AH,N01AX,N01AX,N01AX,N01AX,N01BB,N01BB,N01BB,N01BB,N02AB,N02AB,N02AB,N02AB,N02AX,N02AX,N02AX,N02AX,N05BA,N05BA,N05BA,N05BA,N05CD,N05CD,N05CD,N05CD,N07AA,N07AA,N07AA,N07AA,R03CA,R03CA,R03CA,R03CA,R05CB,R05CB,R05CB,R05CB,R06AB,R06AB,R06AB,R06AB,V03AB,V03AB,V03AB,V03AB
,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower,real,pred_upper,pred,pred_lower
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,0.0,4.8107758343219755,1.0,-2.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,9.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,122.0,83.81318950653076,3.0,-77.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,144.0,229.69536666870115,0.0,-229.69536666870115,2.0,3.1224595129489896,1.0,-1.1224595129489896,80.0,71.37901611328125,3.0,-65.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,56.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,114.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,33.0,35.32810382843017,2.0,-31.328103828430173,0.0,0.05313574802130461,0.0,-0.05313574802130461,130.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,25.0,24.778258228302,2.0,-20.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-03,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,2.0,4.8107758343219755,1.0,-2.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,24.0,82.81318950653076,2.0,-78.81318950653076,4.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,89.0,229.69536666870115,0.0,-229.69536666870115,0.0,3.1224595129489896,1.0,-1.1224595129489896,36.0,70.37901611328125,2.0,-66.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,33.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,50.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,27.0,35.32810382843017,2.0,-31.328103828430173,0.0,0.05313574802130461,0.0,-0.05313574802130461,47.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,15.0,24.778258228302,2.0,-20.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-04,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,0.0,3.8107758343219755,0.0,-3.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,1.0,81.81318950653076,1.0,-79.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,110.0,230.69536666870115,1.0,-228.69536666870115,0.0,2.1224595129489896,0.0,-2.1224595129489896,3.0,69.37901611328125,1.0,-67.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,22.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,22.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,0.0,34.32810382843017,1.0,-32.32810382843017,0.0,0.05313574802130461,0.0,-0.05313574802130461,53.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,0.0,23.778258228302,1.0,-21.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-05,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,0.0,3.8107758343219755,0.0,-3.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,0.0,80.81318950653076,0.0,-80.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,0.0,230.69536666870115,1.0,-228.69536666870115,0.0,2.1224595129489896,0.0,-2.1224595129489896,0.0,68.37901611328125,0.0,-68.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,0.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,0.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,0.0,33.32810382843017,0.0,-33.32810382843017,0.0,0.05313574802130461,0.0,-0.05313574802130461,0.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,0.0,22.778258228302,0.0,-22.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-06,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,2.0,3.8107758343219755,0.0,-3.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,56.0,81.81318950653076,1.0,-79.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,187.0,230.69536666870115,1.0,-228.69536666870115,4.0,2.1224595129489896,0.0,-2.1224595129489896,63.0,69.37901611328125,1.0,-67.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,83.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,94.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,37.0,34.32810382843017,1.0,-32.32810382843017,0.0,0.05313574802130461,0.0,-0.05313574802130461,137.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,24.0,23.778258228302,1.0,-21.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-07,0.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,0.0,3.8107758343219755,0.0,-3.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,36.0,80.81318950653076,0.0,-80.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,142.0,230.69536666870115,1.0,-228.69536666870115,0.0,2.1224595129489896,0.0,-2.1224595129489896,23.0,68.37901611328125,0.0,-68.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,38.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,20.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,5.0,33.32810382843017,0.0,-33.32810382843017,0.0,0.05313574802130461,0.0,-0.05313574802130461,48.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,0.0,0.5502528816461563,0.0,-0.5502528816461563,5.0,22.778258228302,0.0,-22.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-08,1.0,0.5582483947277069,0.0,-0.5582483947277069,0.0,0.03370992438867688,0.0,-0.03370992438867688,3.0,3.8107758343219755,0.0,-3.8107758343219755,0.0,0.0462336016818881,0.0,-0.0462336016818881,0.0,0.014340478205122053,0.0,-0.014340478205122053,0.0,0.02287774672731757,0.0,-0.02287774672731757,0.0,0.017886024713516236,0.0,-0.017886024713516236,0.0,5.6303661346435545,0.0,-5.6303661346435545,0.0,0.015495763253420591,0.0,-0.015495763253420591,21.0,80.81318950653076,0.0,-80.81318950653076,0.0,3.2302546977996824,0.0,-3.2302546977996824,0.0,0.024768936960026623,0.0,-0.024768936960026623,0.0,0.028147201705724,0.0,-0.028147201705724,0.0,0.0030467608594335616,0.0,-0.0030467608594335616,0.0,0.013696293183602392,0.0,-0.013696293183602392,142.0,230.69536666870115,1.0,-228.69536666870115,0.0,2.1224595129489896,0.0,-2.1224595129489896,21.0,68.37901611328125,0.0,-68.37901611328125,0.0,0.024098271690309047,0.0,-0.024098271690309047,66.0,91.40518627166747,0.0,-91.40518627166747,0.0,0.006629500666167587,0.0,-0.006629500666167587,54.0,106.80589714050292,0.0,-106.80589714050292,0.0,0.019172981847077608,0.0,-0.019172981847077608,0.0,0.04521250762045383,0.0,-0.04521250762045383,0.0,0.16268652342259884,0.0,-0.16268652342259884,0.0,0.04590959139168262,0.0,-0.04590959139168262,2.0,33.32810382843017,0.0,-33.32810382843017,0.0,0.05313574802130461,0.0,-0.05313574802130461,32.0,122.68628253936767,0.0,-122.68628253936767,0.0,0.06678441725671291,0.0,-0.06678441725671291,0.0,0.04868750944733619,0.0,-0.04868750944733619,0.0,0.02974167005158961,0.0,-0.02974167005158961,0.0,2.6002853035926816,0.0,-2.6002853035926816,1.0,0.5502528816461563,0.0,-0.5502528816461563,2.0,22.778258228302,0.0,-22.778258228302,0.0,0.010538593051023781,0.0,-0.010538593051023781
2020-01-09,0.0,3.3765857458114623,1.0,-1.3765857458114623,0.0,0.13097005449235438,0.0,-0.13097005449235438,0.0,13.03708391189575,3.0,-7.037083911895751,0.0,0.7353777006268502,0.0,-0.7353777006268502,0.0,0.00784262646920979,0.0,-0.00784262646920979,0.0,0.023825767217203975,0.0,-0.023825767217203975,0.0,0.017909397650510073,0.0,-0.017909397650510073,6.0,5.237587237358093,0.0,-5.237587237358093,0.0,0.05272196168079972,0.0,-0.05272196168079972,26.0,61.48647346496582,22.0,-17.48647346496582,0.0,3.496355080604553,0.0,-3.496355080604553,0.0,0.020856801280751822,0.0,-0.020856801280751822,0.0,0.015210171206854283,0.0,-0.015210171206854283,0.0,0.09516967423260211,0.0,-0.09516967423260211,0.0,0.01915121250785887,0.0,-0.01915121250785887,60.0,297.0343490600586,143.0,-11.034349060058588,0.0,5.22339334487915,0.0,-5.22339334487915,28.0,63.02200622558593,22.0,-19.022006225585933,0.0,0.005008449917659163,0.0,-0.005008449917659163,57.0,139.7739547729492,67.0,-5.77395477294921,0.0,1.0423188239336014,0.0,-1.0423188239336014,35.0,123.11867790222168,55.0,-13.118677902221677,0.0,0.22293562777340412,0.0,-0.22293562777340412,0.0,0.2639205649495125,0.0,-0.2639205649495125,0.0,1.257324680685997,0.0,-1.257324680685997,0.0,0.2553905725479126,0.0,-0.2553905725479126,14.0,23.48573398590088,3.0,-17.48573398590088,0.0,0.6482300251722336,0.0,-0.6482300251722336,36.0,79.47563724517822,33.0,-13.47563724517822,0.0,1.0246042370796202,0.0,-1.0246042370796202,0.0,1.5492647588253021,0.0,-1.5492647588253021,0.0,0.16737800762057303,0.0,-0.16737800762057303,0.0,2.6029973924160004,0.0,-2.6029973924160004,0.0,3.4594484627246858,1.0,-1.4594484627246858,10.0,20.55309820175171,3.0,-14.553098201751709,0.0,0.014388080360367895,0.0,-0.014388080360367895
